time,x1,v1,a1,x2,v2,a2,system_id
0.0,1.0,0.0,-4.0,-1.0,0.0,2.0,1
0.01000362056480811,0.9996,-0.04,-3.9906,-0.9998,0.02,1.9974,1
0.02000724112961622,0.9988009400000001,-0.079906,-3.9798218800000003,-0.99940026,0.039974,1.9942038,1
0.03001086169442433,0.9976038978120001,-0.11970421880000001,-3.967671949296,-0.9988010996200001,0.059916038000000005,1.990413393632,1
0.04001448225923244,0.9960100884290705,-0.15938093829296002,-3.9541569755292563,-0.9980028979006369,0.07982017193632,1.9860309691360754,1
0.050018102824040546,0.994020863348588,-0.19892250804825257,-3.9392841815204735,-0.9970060930843601,0.09968048162768076,1.9810589082701802,1
0.06002172338884866,0.9916377098499534,-0.23831534986345732,-3.923061241954425,-0.9958111823772562,0.11949107071038256,1.9754997851561713,1
0.07002534395365677,0.9888622502271234,-0.27754596228300155,-3.905496279916407,-0.9944187216916367,0.13924606856194427,1.9693563650625656,1
0.08002896451846488,0.9856962409763017,-0.31660092508216564,-3.886597863281983,-0.992829325369511,0.15893963221256993,1.9626316031245559,1
0.09003258508327298,0.9821415719391519,-0.35546690371498546,-3.866375000961531,-0.9910436658870728,0.1785659482438155,1.955328643001843,1
0.10003620564808109,0.9782002654019059,-0.39413065372460077,-3.844837139001132,-0.9890624735403345,0.19811923467383394,1.9474508154748569,1
0.1100398262128892,0.9738744751507598,-0.4325790251146121,-3.8219941565414057,-0.9868865361120487,0.21759374282858251,1.93900163697995,1
0.12004344677769732,0.9691664854839595,-0.4707989666800262,-3.797856361635938,-0.9845166985200648,0.23698375919838202,1.9299848080841862,1
0.13004706734250543,0.9640787101809956,-0.5087775302963856,-3.7724344869309823,-0.9819538624472726,0.2562836072792239,1.9204042119003457,1
0.14005068790731354,0.9586136914293386,-0.5465018751656955,-3.745739685208167,-0.9791989859532902,0.27548764939822734,1.910263912442806,1
0.15005430847212164,0.9527740987091609,-0.5839592720177772,-3.7177835247919906,-0.9762530830680637,0.2945902885226554,1.8995681529249588,1
0.16005792903692975,0.9465627276365038,-0.6211371072656972,-3.688577984823917,-0.9731172233675447,0.31358597005190497,1.8883213539988581,1
0.17006154960173786,0.9399824987653644,-0.6580228871139363,-3.6581354504049317,-0.9697925315316258,0.33246918359189354,1.876528111937801,1
0.18006517016654597,0.9330364563491845,-0.6946042416179856,-3.6264687076084696,-0.9662801868845131,0.35123446471127157,1.8641931967625704,1
